CORE_PROJECT_NUM,PROJECT_TITLE,SOURCE
bio_ba15c64a6dce,The impact of microplastic contamination in cow manure on reproductive behavior and larval survival in the dung beetle  Onthophagus taurus,bioRxiv (preprint)
bio_16ceb0c26c83,Growth responses of  Celosia argentea  L. in soils polluted with microplastics,bioRxiv (preprint)
bio_41366c7f6e92,Measuring PETase enzyme kinetics by single-molecule microscopy,bioRxiv (preprint)
bio_057621a7700c,Plastic-Degrading Clusters of Orthologous Groups in Prokaryotes,bioRxiv (preprint)
bio_8cf0d9d5759c,Plastic-degrading clusters of orthologous groups reveal near-universal biodegradation potential in prokaryotes,bioRxiv (preprint)
bio_ccc3f7026df0,Trophic transfer of nanoplastics reduces larval survival of marine fish more than waterborne exposure,bioRxiv (preprint)
bio_faa8060f6fef,The disadvantage of having a big mouth: the relationship between insect body size and microplastic ingestion,bioRxiv (preprint)
bio_5049deec6cad,Eco-Microbiology: Discovering Biochemical Enhancers of PET Biodegradation by  Piscinibacter sakaiensis,bioRxiv (preprint)
bio_e6baca576e69,Microplastics clog reproduction in a monkeyflower species,bioRxiv (preprint)
bio_460a8f8d707f,Trophic transfer and bioaccumulation of nanoplastics in  Coryphaena hippurus  (Mahi-mahi) and effect of depuration,bioRxiv (preprint)
bio_b828cd2c7338,"Long-term exposure to microplastics and heat affects bumblebee behavior patterns, colony development and social networks",bioRxiv (preprint)
bio_384bf2577221,Measuring PETase enzyme kinetics by single-molecule microscopy,bioRxiv (preprint)
bio_22ed3de56c6e,Microplastics reach the brain and interfere with honey bee cognition,bioRxiv (preprint)
PMC12845532,Fungal Degradation of Microplastics—An Environmental Need,PMC (published)
PMC12865178,Toxic effects of larger sized polyethylene microplastics on cucumber root secretion and oxidative stress,PMC (published)
